job_listing,original_date_posted,skills,company_name,job_city,job_region,job_postal_code,intext_job_title,intext_company_name,intext_date_posted,intext_location,get_education_level,intext_skills,coding_languages,technologies,methodologies,operating_systems,remote,years_experience,date_of_processing,salary,URL
Data Scientist - Martech - 100% Remote,2021-04-01T23:49:51Z,"Python, SQL",Michael Page,Boston,MA,2298,Data Scientist,Martech,6/29/2021,"100% Remote - Michael Page - Boston, MA",Bachelor's - Masters,"neural networks, algorithms, machine learning, sql, statistics, data modeling, clustering, modeling, python","plus, sql, python",,,,True,3,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Martech-%26%2345-100%26%2337-Remote-Michael-Page-Boston-MA-02298/appblok/11153_1511473rxv_51_1
Data Scientist,2021-04-18T19:30:41Z,"HDFS, YARN, Spark, MapReduce, HIVE, Zookeeper, Kafka, NoSQL, Splunk, Pytho, Java",Federal Bureau of Investigation (FBI),Washington,DC,20001,Data Scientist,Federal Bureau of Investigation (FBI),,"Washington, DC",Bachelor's - Masters,"elasticsearch, test automation, continuous delivery, continuous integration, hdfs, java, restful, big data, r, advanced analytics, unix, python, puppet, shell scripting, nosql, chef, devops, bash, scala, splunk, mapreduce, agile, graph databases, mongodb, automation, linux","spark, nosql, elasticsearch, scala, r, shell, java, bash, python",,"continuous integration, agile","hive, linux, college",False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Federal-Bureau-of-Investigation-%28FBI%29-Washington-DC-20001/10292105/6933154
Sr Data Scientist,2021-04-14T21:18:15Z,"7+ years algorithm development, machine learning, statistical modeling, AWS and/or azure, python, matlab, DSP",Britech Grou,San Diego,CA,92128,Sr Data Scientist,"Britech Group, Inc.",,"San Diego, CA",Bachelor's - Masters,"database, machine learning, cloud, electrical engineering, big data, keras, leadership, deep learning, python, digital signal processing, computer science, software development, biomedical engineering, configuration management, communication skills, algorithms, tensorflow, matlab, data science, modeling","plus, matlab, signal, processing, python","aws, tensorflow",version control,"root, vision",False,7,6292021,,https://www.dice.com/jobs/detail/Sr-Data-Scientist-Britech-Group%2C-Inc.-San-Diego-CA-92128/10118384/Req%26%23451680
Data Scientist,2021-06-18T20:18:23Z,"Development, Computer, Management, Microsoft Excel, PowerPoint, SQL, Python",Baker Hughes Energy Services LLC,Houston,TX,77073,Data Scientist,Baker Hughes Energy Services LLC,6/29/2021,"Houston, TX",Bachelor's - Masters,"spectrum, computer science, machine learning, microsoft excel, business development, pivotal, r, information management, data visualization, statistics, data engineering, tableau, communication skills, predictive analytics, sql, python","r, sql, python",,,,False,5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Baker-Hughes-Energy-Services-LLC-Houston-TX-77073/10118826/R24719
Data Scientist - Senior,2021-04-17T00:16:51Z,"Engineering, Python, Visual Basic, SQL, MySQL, Web",Electronic Consulting Service,Washington,,15301,Data Scientist,Senior,,"Electronic Consulting Services, Inc (ECS Federal) - Washington",Bachelor's - Masters,"mysql, data analysis, business analytics, nosql, machine learning, amazon web services, big data, r, mathematics, statistical analysis, data science, visual basic, statistics, quality control, web services, cloud, sql, python","mysql, nosql, r, dc, pipelines, self, sql, python",aws,ci/cd,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Senior-Electronic-Consulting-Services%2C-Inc-%28ECS-Federal%29-Washington--15301/10112MAN/7773
Principal Data Scientist,2021-06-28T13:07:26Z,"Artificial Intelligence, Python, MySQL, SQL, Development, Computer, Data Mining, Programming, ACL",Jobot,Boulder,CO,80301,Principal Data Scientist,Jobot,6/29/2021,"Boulder, CO",Bachelor's - Masters,"hipaa, machine learning, professional development, cloud, google cloud, big data, c, leadership, natural, publishing, deep learning, python, computer science, data mining, flask, predictive analytics, sql, artificial intelligence, mysql, algorithms, scala, tensorflow, data science, computer vision, c++","mysql, scala, c, ml, source, spark, c++, sql, python","kubeflow, aws, tensorflow",,vision,True,,6292021,,https://www.dice.com/jobs/detail/Principal-Data-Scientist-Jobot-Boulder-CO-80301/91113390/616497932
Data Scientist -Fully Remote,2021-04-01T00:30:33Z,"SQL, Data Science, Image Analytics, Data minning, Neuro Network, Statistics",Canvas InfoTech Inc.,Charlottevle,NC,12036,Data Scientist,ully Remote,,"Canvas InfoTech Inc. - Charlottevle, NC",Bachelor's - Masters,"business analytics, computer science, machine learning, tensorflow, mathematics, data mining, data science, sql, statistics, physics, modeling, python","spark, sql, python",tensorflow,,,False,6,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345Fully-Remote-Canvas-InfoTech-Inc.-Charlottevle-NC-12036/10197080/2021%26%23451156
Data Scientist,2021-06-21T23:32:54Z,"Excel, Quality, SAS, Balanced Scorecard Methodology",Zachary Piper Solution,Camp Springs,MD,20746,Data Scientist,"Zachary Piper Solutions, LLC",6/29/2021,"Camp Springs, MD",Bachelor's - Masters,"sas, data mining, etl, quality assurance, tableau, data collection, modeling",sas,,,,False,7,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Zachary-Piper-Solutions%2C-LLC-Camp-Springs-MD-20746/10430981/45583
AI/ML Data Scientists (open to remote),2021-03-13T00:34:21Z,"NLP, SQL, Networks, Physics, Computer, Engineering",American Family Insurance,No City Given,IL,,AI/ML Data Scientists (open to remote),American Family Insurance,6/29/2021,"No City Given, IL",Bachelor's - Masters,"database, machine learning, natural language processing, cloud, software engineering, big data, leadership, natural, deep learning, emerging technologies, thought leadership, python, computer science, software development, statistics, testing, sql, statistical analysis, mathematics, data science, agile, physics, iot, writing, computer vision, modeling, problem solving","small, python, source, clean, sql, processing",pytorch,"agile, version control",vision,True,,6292021,,https://www.dice.com/jobs/detail/AI%26%2347ML-Data-Scientists-%28open-to-remote%29-American-Family-Insurance-No-City-Given-IL-/appblok/12426_R20958
Senior Data Scientist,2021-06-24T22:05:53Z,Senior Data Scientist,Svam Internationa,,,,Senior Data Scientist,"Svam International, Inc.",6/29/2021,,Bachelor's - Masters,"data warehouse, edi, database, machine learning, etl, tableau, python, computer science, operations research, statistics, teamwork, hl7, communication skills, sql, neural networks, mathematics, data science, data visualization, data architecture","sql, python",,,,True,3 to 5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Svam-International%2C-Inc.---/svam/DScientist_CH
Data Scientist,2021-06-28T16:31:27Z,"Data Scientist, python",Unique System Skills LLC,Keene,NH,3431,Data Scientist,Unique System Skills LLC,,"Keene, NH",Masters,"data science, python","goal, python",,,,True,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Unique-System-Skills-LLC-Keene-NH-03431/10315040/7023912
Data Scientist - Deep Learning/AI,2021-03-12T17:18:02Z,,Insight,Herndon,VA,20170,Data Scientist,Deep Learning/AI,6/29/2021,"Insight - Herndon, VA",Bachelor's - Masters,"computer science, database, managed services, r, it strategy, advanced analytics, leadership, natural language processing, cisco, natural, iot, sales, communication skills, python","dc, r, python, processing",,,vision,False,5 to 5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Deep-Learning%26%2347AI-Insight-Herndon-VA-20170/40001004/80547
Senior Data Scientist,2021-05-26T23:33:58Z,"Robotic, Research, Modeling, Simulation, Physics, Python, Java, UNIX, Artificial Intelligence, IT",SAIC,Reston,VA,20190,Senior Data Scientist,SAIC,6/29/2021,"Reston, VA",Bachelor's - Masters,"algorithms, operations research, robotic process automation, .net, mathematics, data science, python, physics, unix, java, data processing, process automation, automation, deep learning, predictive analytics, modeling, artificial intelligence","processing, python, java",,prototyping,,False,3 to 5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-SAIC-Reston-VA-20190/10111346/217662
Senior Data Scientist,2021-06-16T14:35:48Z,"machine learning, python, data science, analytics, NLP",LexisNexis - Risk Solutions,New Providence,NJ,7974,Senior Data Scientist,LexisNexis,6/15/2021,"Risk Solutions - New Providence, NJ",Bachelor's - Masters,"computer science, machine learning, mathematics, data science, statistics, lexisnexis, use cases, ux, python","ml, small, source, python",,,,False,5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-LexisNexis-%26%2345-Risk-Solutions-New-Providence-NJ-07974/10340288/7008945
Data Scientist,2021-06-23T13:30:56Z,"4 or more years of experience building ML and statistical models, Masters in Computer Engineering/Statistics, Data Structures, Algorithms, Python, Numpy, Pandas, Scikit-learn, SQL, Deep Neural networks, Natural Language Processing, excellent communication skills",Zycro,Denver,CO,80201,Data Scientist,"Zycron, Inc.",,"Denver, CO",Bachelor's - Masters,"data structures, neural networks, algorithms, computer science, machine learning, statistics, natural language processing, natural, communication skills, sql, python","plus, processing, ml, sql, python",,,,True,2 to 6,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Zycron%2C-Inc.-Denver-CO-80201/80157940/119636
Senior Data Scientist,2021-06-24T14:07:38Z,"Helathcare Experience, R, Python, ETL, EDI, SQL, Tableau, Data Visualization, Data Storytelling",Svam Internationa,Oakland,CA,94608,Senior Data Scientist,"Svam International, Inc.",,"Oakland, CA",Bachelor's - Masters,"data warehouse, edi, database, data extraction, machine learning, etl, r, advanced analytics, data management, tableau, python, computer science, operations research, statistics, teamwork, hl7, utilization management, communication skills, sql, neural networks, mathematics, data science, data visualization, data architecture, modeling","r, sql, python",,,,False,3 to 5,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Svam-International%2C-Inc.-Oakland-CA-94608/svam/7019875
Data Scientist - DoD,2020-10-01T23:15:11Z,"Security, Data Analysis, Python, Java, SQL, Programming, Modeling, Excel, PowerPoint",Tallon Recruiting &amp; Staffing,Washington,DC,20001,Data Scientist,DoD,6/29/2021,"Tallon Recruiting & Staffing - Washington, DC",Bachelor's - Masters,"genetics, data engineering, java, project management, data analysis, r, appian, tableau, data cleansing, python, nosql, operations research, data mining, statistics, sql, scala, statistical analysis, mathematics, microsoft office, modeling","nosql, scala, r, python, dc, java, sql, processing",,,,False,3 to 5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-DoD-Tallon-Recruiting-%26-Staffing-Washington-DC-20001/10191119/651%26%23452
Senior Data Scientist,2021-04-14T23:06:59Z,,Kforce Technology Staffing,New York,NY,10014,Senior Data Scientist,Kforce Technology Staffing,6/29/2021,"New York, NY",Bachelor's - Masters,"machine learning, data science, statistics, data engineering, modeling","rest, cool, goal",,,,False,,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Kforce-Technology-Staffing-New-York-NY-10014/kforcecx/ITAQG1948361
Principal Data Scientist,2021-04-14T21:20:44Z,"8+ years experience as a data scientist, Python, C++, machine learning, big data, AWS",Britech Grou,San Diego,CA,92101,Principal Data Scientist,"Britech Group, Inc.",,"San Diego, CA",Bachelor's - Masters,"data migration, database, machine learning, data engineering, cloud, continuous integration, big data, leadership, digital signal processing, python, computer science, software development, configuration management, c#, devops, communication skills, sql, mysql, data science, apache hadoop, data modeling, c++, modeling","mysql, plus, c#, python, signal, s3, c++, sql, processing",aws,"continuous integration, version control",root,True,8 to 8,6292021,,https://www.dice.com/jobs/detail/Principal-Data-Scientist-Britech-Group%2C-Inc.-San-Diego-CA-92101/10118384/Req%26%23451679
Data Scientist,2021-06-28T19:05:04Z,"data science, machine learning, Python, Python Data Science packages, SQL, statistical, data mining, machine learning techniques, GLM/Regression",Global Business Consulting Services,Boca Raton,FL,33427,Data Scientist,Global Business Consulting Services,,"Boca Raton, FL",Bachelor's - Masters,"elasticsearch, machine learning, network analysis, financial services, clustering, text mining, data analysis, keras, tableau, deep learning, python, data mining, communication skills, sql, artificial intelligence, algorithms, statistical analysis, tensorflow, data science, data visualization, agile, modeling","plus, elasticsearch, s3, pipelines, sql, python","pytorch, aws, tensorflow",agile,monitor,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Global-Business-Consulting-Services-Boca-Raton-FL-33427/10115799/MDataScientist
Data Scientist,2021-03-08T21:17:59Z,"Network, Library, SQL, Python, Java, Matlab",MAXAR Technologies,Washington,,15301,Data Scientist,MAXAR Technologies,6/29/2021,Washington,Bachelor's - Masters,"data extraction, professional development, natural language processing, data processing, java, parallel computing, r, natural, tableau, engineering support, python, statistics, torch, sql, scala, matlab, data science, cuda, computer vision, hdfs","scala, r, matlab, python, signal, java, spark, sql, processing",,,"hive, vision",False,5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-MAXAR-Technologies-Washington--15301/91094828/R10957
Data Scientist,2021-06-04T23:07:09Z,"Microsoft Excel, Oracle, SQL, Python, Web",Leidos,Mclean,VA,22102,Data Scientist,Leidos,6/29/2021,"Mclean, VA",Bachelor's - PhD,"data analysis, business analytics, web analytics, microsoft excel, oracle, mathematics, data science, python, statistics, natural language processing, natural, automation, sql, problem solving","sql, python, oracle, processing",,version control,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Leidos-Mclean-VA-22102/SCNCAPI2/R%26%234500057919
Data Scientist,2019-08-06T05:07:34Z,other,Quicken Loan,Detroit,MI,48226,Data Scientist,"Quicken Loans, LLC",6/29/2021,"Detroit, MI",Bachelor's - Masters,"machine learning, business intelligence, java, chemistry, big data, r, advanced analytics, leadership, python, computer science, operations research, statistics, testing, communication skills, sql, sas, mathematics, data science, data visualization, physics, modeling","sas, simple, reason, r, java, sql, python",,,,False,1 to 5,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Quicken-Loans%2C-LLC-Detroit-MI-48226/10109060/R%26%2345025094
Data Scientist for Aviation Analytics,2021-06-03T23:35:30Z,"Civil, Architect, Computer, Engineering, Software, Linux, Windows, Python, JavaScript, SQL, IT, Environmental, Management, Analysis, Research",SAIC,Washington,DC,20001,Data Scientist for Aviation Analytics,SAIC,6/29/2021,"Washington, DC",Bachelor's - Masters,"machine learning, business development, data analysis, computer engineering, aviation, leadership, rapid prototyping, unix, python, computer science, c#, data mining, sql, algorithms, data visualization, agile, javascript, linux, modeling","plus, c#, javascript, processing, rapid, sql, python",,"prototyping, agile","linux, mac os",False,1 to 6,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-for-Aviation-Analytics-SAIC-Washington-DC-20001/10111346/218340
Conservation Data Scientist - 21069,2021-06-10T02:15:19Z,,WWF Washingto,Washington,DC,20037,Conservation Data Scientist,21069,6/15/2021,"WWF Washington, DC - Washington, DC",Bachelor's - Masters,"arcgis, data analysis, project management, computer science, machine learning, data science, leadership, data management, wwf, interpersonal skills, management skills, data acquisition","self, processing",,,,False,5 to 8,6292021,,https://www.dice.com/jobs/detail/Conservation-Data-Scientist-%26%2345-21069-WWF-Washington%2C-DC-Washington-DC-20037/10301635/138798126
Senior Data Scientist,2021-05-27T23:32:30Z,"Software, Engineer, Engineering, Java, Python, SQL, Apache, Web, Linux, Security, IT",SAIC,Chantilly,VA,20151,Senior Data Scientist,SAIC,6/29/2021,"Chantilly, VA",Bachelor's - Masters,"nosql, database, amazon web services, atlassian, confluence, javascript, python, data engineering, apache hadoop, etl, sql, use cases, web services, data processing, cloud, linux, jira, java","rest, nosql, python, javascript, source, java, sql, processing",jira,,linux,False,3 to 3,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-SAIC-Chantilly-VA-20151/10111346/218177
Data Scientist,2021-05-24T17:08:21Z,Data Scientist,Honu Services,Silver Spring,MD,20910,Data Scientist,Honu Services,6/8/2021,"Silver Spring, MD",Bachelor's - Masters,"data structures, data warehouse, big data, performance tuning, data marts, r, data science, data visualization, sql, etl, data architecture, data modeling, spring, modeling, python","r, sql, python",,,"spring, vision",False,2,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Honu-Services-Silver-Spring-MD-20910/91008521/20423309%26%2345598
Junior Data Scientist,2020-11-11T00:06:04Z,,Leidos,Reston,VA,20190,Junior Data Scientist,Leidos,6/29/2021,"Reston, VA",Bachelor's - Masters,"neural networks, data analysis, algorithms, software development, machine learning, atlassian, confluence, agile, less, scrum, communication skills, jira",,jira,"scrum, agile software development, agile",,False,2 to 3,6292021,,https://www.dice.com/jobs/detail/Junior-Data-Scientist-Leidos-Reston-VA-20190/SCNCAPI2/R%26%234500043882
Data Scientist / ML,2021-04-30T13:06:23Z,"Computer, Engineering, Python, Libraries, Analytical",Motion Recruitment,San Jose,CA,95101,Data Scientist / ML,Motion Recruitment,,"San Jose, CA",Bachelor's - Masters,"computer science, data science, iot, cloud, automation, communication skills, python","s3, ml, plus, python",aws,,,False,2 to 3,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2347-ML-Motion-Recruitment-San-Jose-CA-95101/10105282/460713
Junior Data Scientist - REMOTE,2021-06-12T23:17:02Z,"Security, Data Analysis, SQL, Python, Java, Computer",Tallon Recruiting &amp; Staffing,San Antonio,TX,78202,Junior Data Scientist,REMOTE,6/29/2021,"Tallon Recruiting & Staffing - San Antonio, TX",Bachelor's - Masters,"neo4j, genetics, data engineering, java, data analysis, data integrity, r, appian, data cleansing, python, computer science, nosql, data mining, statistics, communication skills, sql, scala, san, statistical analysis, data science, data visualization, data modeling, modeling","plus, nosql, scala, r, python, java, sql, processing",,,,True,2 to 5,6292021,,https://www.dice.com/jobs/detail/Junior-Data-Scientist-%26%2345-REMOTE-Tallon-Recruiting-%26-Staffing-San-Antonio-TX-78202/10191119/907
Senior Data Scientist,2021-05-05T13:07:43Z,Python,Motion Recruitment,New York,NY,10001,Senior Data Scientist,Motion Recruitment,,"New York, NY",Bachelor's - Masters,"algorithms, database, machine learning, data science, leadership, social media, natural language processing, natural, cloud, python","python, processing",aws,,,False,3,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Motion-Recruitment-New-York-NY-10001/10105282/458784
Senior Data Scientist,2021-06-23T20:30:11Z,"Artificial Intelligence, Physics, Engineering",Bank Of America,Charlotte,NC,28201,Senior Data Scientist,Bank Of America,6/29/2021,"Charlotte, NC",Bachelor's - Masters,"algorithms, machine learning, finance, mathematics, risk assessment, banking, physics, program management, use cases, risk management, management skills, modeling, artificial intelligence","context, sr",,,,False,7 to 7,6292021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Bank-Of-America-Charlotte-NC-28201/10118499/21038105
Data Scientist Sr Principal,2020-11-19T00:33:52Z,"Python, Bash, SAS, SQL, Oracle, MySQL, Microsoft Excel, Web, Security, IT",SAIC,Chantilly,VA,20151,Data Scientist Sr Principal,SAIC,6/29/2021,"Chantilly, VA",Bachelor's - Masters,"machine learning, intelligence analysis, microsoft excel, r, tableau, postgresql, python, computer science, oracle, bash, sql, mysql, sas, systems engineering, amazon web services, mathematics, data science, web services, data modeling, modeling","mysql, sas, oracle, r, bash, postgresql, sql, python",,,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Sr-Principal-SAIC-Chantilly-VA-20151/10111346/2016981
Chief Data Scientist,2021-05-10T23:35:18Z,"Program Manager, Systems, Engineering, Architecture, IT, Architect, Quality, Development, System, Security",SAIC,Colorado Springs,CO,80901,Chief Data Scientist,SAIC,6/29/2021,"Colorado Springs, CO",Bachelor's - Masters,"technical analysis, systems engineering, software design, enterprise architecture, information assurance, agile, system integration, testing, quality assurance, systems analysis, togaf, modeling",,,agile,,False,1 to 6,6292021,,https://www.dice.com/jobs/detail/Chief-Data-Scientist-SAIC-Colorado-Springs-CO-80901/10111346/216960
Chief Data Scientist,2021-04-23T23:34:37Z,"Robotic, Research, Modeling, Simulation, Python, Java, UNIX, Artificial Intelligence, IT",SAIC,Washington,DC,20001,Chief Data Scientist,SAIC,6/29/2021,"Washington, DC",Bachelor's - Masters,"algorithms, robotic process automation, .net, data science, python, unix, java, data processing, process automation, automation, deep learning, predictive analytics, modeling, artificial intelligence","processing, python, java",,prototyping,,True,1 to 8,6292021,,https://www.dice.com/jobs/detail/Chief-Data-Scientist-SAIC-Washington-DC-20001/10111346/216082
Data Scientist,2021-06-03T18:45:12Z,Data Scientist,Mastek Inc,Sunnyvale,CA,94085,Data Scientist,Mastek Inc,6/8/2021,"Sunnyvale, CA",Bachelor's - Masters,"nosql, machine learning, statistical analysis, r, predictive modelling, leadership, data management, communication skills, sql, python","nosql, r, e, sql, python",,,,False,,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Mastek-Inc-Sunnyvale-CA-94085/91112176/6992119
Data Scientist (Mid)-Data & Analytics-IT-CS-US,2021-05-20T12:45:48Z,"IT, Python, OOP, SQL",Judge Grou,Chesterfield,MO,63005,Data Scientist (Mid,ata & Analytic,6/29/2021,"T-CS-US - Judge Group, Inc. - Chesterfield, MO",Masters,"computer science, machine learning, object-oriented programming, r, genetics, statistics, oop, interpersonal skills, cloud, sql, python","r, sql, python",,"version control, object-oriented programming, oop",,False,1,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-%28Mid%29%26%2345Data-%26-Analytics%26%2345IT%26%2345CS%26%2345US-Judge-Group%2C-Inc.-Chesterfield-MO-63005/cxjudgpa/725007
Data Scientist,2021-06-01T13:07:37Z,"Python, OOP, SQL",Judge Grou,St. Louis,MO,63101,Data Scientist,"Judge Group, Inc.",6/29/2021,"St. Louis, MO",Masters,"attention to detail, computer science, machine learning, object-oriented programming, big data, r, genetics, data science, statistics, data engineering, oop, interpersonal skills, software engineering, sql, python","r, sql, python",,"version control, object-oriented programming, oop",,False,1,6292021,,https://www.dice.com/jobs/detail/Data-Scientist-Judge-Group%2C-Inc.-St.-Louis-MO-63101/cxjudgpa/727262
